Nome,FIDC RANDONCORP SEGMENTO RECEBÍVEIS
Grupo,FIDC Randoncorp
CNPJ,62.690.693/0001-49
Páginas locais analisadas,198
Última competência IME,—
PL (R$ mm),—
Direitos creditórios / PL,—
Vencidos Over 30d / crédito,—
Vencidos Over 60d / crédito,—
Vencidos Over 90d / crédito,—
Vencidos Over 180d / crédito,—
Vencidos Over 360d / crédito,—
PDD / crédito,—
PDD / vencidos,—
Cotas sênior / PL,—
Cotas mezanino / PL,—
Cotas subordinadas / PL,—
Séries/classes emitidas identificadas,1
Volume emitido identificado (R$ mm),700
Primeira emissão identificada,03/11/2025
Última emissão identificada,03/11/2025
"Emissões detectadas (data, classe, preço e volume)",03/11/2025 · Cotas Subordinadas”) · Subordinada: R$ 700 mm
Remuneração-alvo por emissão detectada,—
Amortização/vencimento por emissão detectada,—
Regulamento-base dos thresholds,03/11/2025 · 1028146_regulamento_regulamento_1028146_2025-11-03.pdf
Alocação mínima em DCs,>= 100%; >= 50%; 50%
Subordinação mínima,—
Evento de avaliação por atraso,—
Liquidação/vencimento por atraso,—
Cobertura mínima PDD,—
Reserva/caixa mínimo,—
Limite de recompra,—
Limite de cancelamento,—
Limite de chargeback/contestação,—
Limites de concentração,—
Hedges permitidos,texto
Cross default do cedente,—
Troca de gestor/administrador,—
Critérios de elegibilidade,texto; <=
