Nome,BASSANO DI GRAPPO
Grupo,FIDC Condor
CNPJ,37.645.459/0001-52
Páginas locais analisadas,591
Última competência IME,—
PL (R$ mm),—
Direitos creditórios / PL,—
Vencidos Over 30d / crédito,—
Vencidos Over 60d / crédito,—
Vencidos Over 90d / crédito,—
Vencidos Over 180d / crédito,—
Vencidos Over 360d / crédito,—
PDD / crédito,—
PDD / vencidos,—
Cotas sênior / PL,—
Cotas mezanino / PL,—
Cotas subordinadas / PL,—
Séries/classes emitidas identificadas,—
Volume emitido identificado (R$ mm),—
Primeira emissão identificada,—
Última emissão identificada,—
"Emissões detectadas (data, classe, preço e volume)",—
Remuneração-alvo por emissão detectada,—
Amortização/vencimento por emissão detectada,—
Regulamento-base dos thresholds,04/05/2026 · 2026
Alocação mínima em DCs,>= 67%
Subordinação mínima,—
Evento de avaliação por atraso,—
Liquidação/vencimento por atraso,—
Cobertura mínima PDD,—
Reserva/caixa mínimo,—
Limite de recompra,—
Limite de cancelamento,—
Limite de chargeback/contestação,—
Limites de concentração,<= 20%; >= 67%
Hedges permitidos,texto
Cross default do cedente,—
Troca de gestor/administrador,"texto; Regra textual de troca/substituição de administrador, gestor ou prestador-chave."
Critérios de elegibilidade,>=; texto
