Nome,3RD
Grupo,3rd fundo de investimento em direitos creditorios
CNPJ,40.975.325/0001-04
Páginas locais analisadas,234
Última competência IME,04/2026
PL (R$ mm),R$ 60 mm
Direitos creditórios / PL,"99,5%"
Vencidos Over 30d / crédito,"0,0%"
Vencidos Over 60d / crédito,"0,0%"
Vencidos Over 90d / crédito,"0,0%"
Vencidos Over 180d / crédito,"0,0%"
Vencidos Over 360d / crédito,"0,0%"
PDD / crédito,"0,0%"
PDD / vencidos,"48,5%"
Cotas sênior / PL,"18,6%"
Cotas mezanino / PL,"0,0%"
Cotas subordinadas / PL,"81,4%"
Séries/classes emitidas identificadas,1
Volume emitido identificado (R$ mm),—
Primeira emissão identificada,03/06/2025
Última emissão identificada,03/06/2025
"Emissões detectadas (data, classe, preço e volume)",03/06/2025 · classe sênior com as características no anexo I · Sênior: termos econômicos não identificados
Remuneração-alvo por emissão detectada,—
Amortização/vencimento por emissão detectada,—
Regulamento-base dos thresholds,13/05/2026 · 1188990_regulamento_regulamento_1188990_2026-05-13.pdf
Alocação mínima em DCs,>= 67%; 67%
Subordinação mínima,—
Evento de avaliação por atraso,—
Liquidação/vencimento por atraso,—
Cobertura mínima PDD,>= 100%
Reserva/caixa mínimo,—
Limite de recompra,—
Limite de cancelamento,—
Limite de chargeback/contestação,—
Limites de concentração,—
Hedges permitidos,>=; texto; Regra textual de derivativos/hedge; verificar observação e fonte.
Cross default do cedente,—
Troca de gestor/administrador,<=; texto
Critérios de elegibilidade,>=
